id;label;y;x;size
151;Krasnik;5.869315068;22.219;2
152;Krasnystaw;5.776561644;23.179;2
153;Krosno;7.738068493;21.759;2
154;Krosno Odrzańskie;4.149575342;15.100;2
155;Krotoszyn;4.696972603;17.430;2
156;Kruszwica;3.206835616;18.299;2
157;Krynica;8.165342466;20.959;2
158;Krzeszowice;7.084232877;19.630;2
159;Kudowa-Zdrój;6.629589041;16.229;2
160;Kutno;3.875876712;19.360;2
161;Kwidzyn;1.595054795;18.930;2
162;Lębork;0.364931507;17.750;2
163;Ledziny;7.084232877;19.059;2
164;Legionowo;3.61890411;20.920;2
165;Legnica;5.443561644;16.159;2
166;Leszno;4.470410959;16.570;2
167;Leżajsk;6.888082192;22.420;2
168;Libiąż;7.129849315;19.290;2
169;Lidzbark Warmiński;0.988356164;20.590;2
170;Limanowa;7.724383562;20.419;2
171;Lipno;2.965068493;19.169;2
172;Lobez;1.747109589;15.620;2
173;Lubaczów;7.038616438;23.119;2
174;Lubań;5.580410959;15.280;2
175;Lubartów;5.063424658;22.610;2
176;Lubawa;1.959986301;19.749;2
177;Lubin;5.154657534;16.200;2
178;Lublin;5.396424658;22.570;2
179;Lubliniec;6.264657534;18.689;2
180;Luboń;3.725342466;16.870;2
181;Lubsko;4.560123288;14.960;2
182;Lwowek Slaski;5.59409589;15.600;2
183;Łańcut;7.176986301;22.229;2
184;Łapy;2.736986301;22.890;2
185;Łask;4.849027397;19.140;2
186;Łaziska Gorne;7.023410959;18.779;2
187;Łęczna;5.289986301;22.870;2
188;Łęczyca;4.135890411;19.199;2
189;Łódź;4.590534247;19.459;2
190;Łomianki;3.710136986;20.889;2
191;Łomża;2.446561644;22.070;2
192;Łuków;4.332041096;22.390;2
193;Maków Mazowiecki;2.933136986;21.100;2
194;Malbork;1.138890411;19.040;2
195;Marki;3.740547945;21.110;2
196;Miastko;1.199712329;16.969;2
197;Miechów;6.734506849;20.019;2
198;Miedzychod;3.313273973;15.899;2
199;Miedzyrzec Podlaski;4.256013699;22.780;2
200;Miedzyrzecz;3.556561644;15.569;2
201;Mielec;6.840945205;21.430;2
202;Mikolów;6.932178082;18.969;2
203;Milanówek;4.043136986;20.659;2
204;Milicz;4.955465753;17.270;2
205;Mińsk Mazowiecki;3.968630137;21.559;2
206;Mława;2.537794521;20.360;2
207;Mogilno;3.252452055;17.960;2
208;Mońki;2.112041096;22.780;2
209;Morąg;1.322876712;19.930;2
210;Mosina;3.846986301;16.840;2
211;Mrągowo;1.382178082;21.300;2
212;Murowana Goślina;3.358890411;17.010;2
213;Myślenice;7.526712329;19.939;2
214;Myśliborz;2.828219178;14.869;2
215;Mysłowice;6.916972603;19.140;2
216;Myszków;6.399986301;19.319;2
217;Nakło nad Notecia;2.50890411;17.599;2
218;Namysłów;5.641232877;17.719;2
219;Nidzica;2.159178082;20.429;2
220;Nisko;6.477534247;22.139;2
221;Nowa Dęba;6.614383562;21.759;2
222;Nowa Ruda;6.384780822;16.500;2
223;Nowa Sól;4.531232877;15.709;2
224;Nowe Miasto Lubawskie;2.066424658;19.590;2
225;Nowogard;1.71669863;15.109;2
226;Nowy Dwór Gdański;0.865191781;19.120;2
227;Nowy Dwór Mazowiecki;3.588493151;20.709;2
228;Nowy Sącz;7.844506849;20.699;2
229;Nowy Targ;8.05890411;20.030;2
230;Nowy Tomyśl;3.769438356;16.120;2
231;Nysa;6.553561644;17.339;2
232;Oborniki;3.252452055;16.809;2
233;Oława;5.852589041;17.299;2
234;Olecko;1.138890411;22.509;2
235;Oleśnica;5.443561644;17.379;2
236;Olesno;5.930136986;18.409;2
237;Olkusz;6.857671233;19.549;2
238;Olsztyn;1.535753425;20.489;2
239;Opalenica;3.769438356;16.399;2
240;Opoczno;5.185068493;20.280;2
241;Opole;6.249452055;17.940;2
242;Opole Lubelskie;5.534794521;21.969;2
243;Orneta;1.018767123;20.129;2
244;Orzesze;7.038616438;18.779;2
245;Ostróda;1.640671233;19.959;2
246;Ostrołęka;2.583410959;21.569;2
247;Ostrów Mazowiecki;3.025890411;21.900;2
248;Ostrów Wielkopolski;4.757794521;17.799;2
249;Ostrowiec Świętokrzyski;5.837383562;21.389;2
250;Ostrzeszów;5.124246575;17.950;2
251;Oświecim;7.22260274;19.259;2
252;Otwock;4.075068493;21.280;2
253;Ozimek;6.234246575;18.219;2
254;Ozorków;4.287945205;19.290;2
255;Pabianice;4.744109589;19.350;2
256;Parczew;4.789726027;22.900;2
257;Pasłęk;1.094794521;19.659;2
258;Piaseczno;4.135890411;21.020;2
259;Piastów;3.923013699;20.920;2
260;Piekary Śląskie;6.673684932;18.959;2
261;Pieszyce;6.187109589;16.590;2
262;Piła;2.49369863;16.739;2
263;Pińczów;6.462328767;20.529;2
264;Pionki;5.016287671;21.459;2
265;Piotrków Trybunalski;5.139452055;19.700;2
266;Pisz;1.762315068;21.799;2
267;Pleszew;4.379178082;17.779;2
268;Płock;3.404506849;19.700;2
269;Płonsk;3.284383562;20.379;2
270;Polaniec;6.629589041;21.280;2
271;Polczyn-Zdrój;1.549438356;16.100;2
272;Police;1.885479452;14.559;2
273;Polkowice;5.001082192;16.049;2
274;Poniatowa;5.487657534;22.120;2
275;Poręba;6.538356164;19.339;2
276;Poznań;3.634109589;16.900;2
277;Prudnik;6.780123288;17.569;2
278;Pruszcz Gdański;0.811972603;18.649;2
279;Pruszków;3.906287671;20.819;2
280;Przasnysz;2.705054795;20.879;2
281;Przemyśl;7.601219178;22.780;2
282;Przeworsk;7.176986301;22.500;2
283;Pszczyna;7.313835616;18.950;2
284;Pszów;7.22260274;18.400;2
285;Puck;0.121643836;18.400;2
286;Puławy;5.107520548;21.980;2
287;Pułtusk;3.161219178;21.089;2
288;Pyrzyce;2.50890411;14.879;2
289;Pyskowice;6.658479452;18.620;2
290;Rabka;7.861232877;19.939;2
291;Raciborz;7.145054795;18.219;2
292;Radlin;7.22260274;18.459;2
293;Radom;5.154657534;21.159;2
294;Radomsko;5.656438356;19.440;2
295;Radzionków;6.688890411;18.889;2
296;Radzyn Podlaski;4.560123288;22.620;2
297;Rawa Mazowiecka;4.590534247;20.260;2
298;Rawicz;4.835342466;16.860;2
299;Reda;0.256972603;18.340;2
300;Rogożno;3.10039726;16.979;2
301;Ropczyce;7.176986301;21.749;2
302;Ruda Śląska;6.827260274;18.880;2
303;Rumia;0.302589041;18.370;2
304;Rybnik;7.129849315;18.549;2
305;Rydultowy;7.176986301;18.429;2
